experiment_id,feature_id,name,hypothesis,null,mechanism,feature_definition,raw_inputs,sources,source_urls,primary_horizon,secondary_horizons,target,eligible_population,sampling_controls,baseline,confounders,primary_test,effective_sample_requirement,validation,falsification,dependencies,cost_difficulty,priority,expected_information_gain,evidence_ids,status
H43,F43,Tick-size transition,Tick transitions change queue-signal effectiveness,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Tick transitions change queue-signal effectiveness; this is a hypothesis, not an established AREPO result.",tick change indicator and time since change interacting with imbalance,"tick_size_change events,quotes,price regime",PBOOK,https://docs.polymarket.com/market-data/realtime-data,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Observed transition windows and matched nontransition markets,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Price boundary triggers tick changes; endogenous transition,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Control continuous probability and spread/tick ratio.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E05;HYP,Designed; not executed; no edge established
H44,F44,Venue-reference basis and TWAP,Rule-matched TWAP state improves short crypto forecast beyond spot return,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Rule-matched TWAP state improves short crypto forecast beyond spot return; this is a hypothesis, not an established AREPO result.",PM-implied underlying threshold probability relative to Chainlink 30/60s TWAP path and spot basis,"RTDS spot,TWAP values,window times,strike,expiry",PRTDS;XCOIN;PGAMMA,https://docs.polymarket.com/market-data/chainlink-twap | https://docs.cdp.coinbase.com/exchange/websocket-feed/overview | https://docs.polymarket.com/api-spec/gamma-openapi.yaml,1m,5m;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Crypto markets with exact reference/window rules,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Oracle/spot mismatch; data-stream latency; regime migration,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare spot, reference spot and TWAP incremental arms; stratify pre/post rule changes.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,HYP,Designed; not executed; no edge established
H45,F45,Macro release surprise,Release surprise predicts residual PM repricing after ingestion delay,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Release surprise predicts residual PM repricing after ingestion delay; this is a hypothesis, not an established AREPO result.",(first released actual - frozen prerelease expectation)/training historical surprise sd,"official first release,consensus or AREPO prerelease forecast,vintage",XBLS;XFRED;POFFICIAL,https://www.bls.gov/developers/ | https://fred.stlouisfed.org/docs/api/fred/realtime_period.html | https://developer.parliament.uk/,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Repeated comparable scheduled releases; independent release clusters,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Revised actual, consensus collected after release, simultaneous indicators",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Expectations and first actual frozen separately; realistic delay curve required.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,HYP,Designed; not executed; no edge established
H46,F46,Official revision surprise,Revisions convey incremental information about linked event probabilities,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Revisions convey incremental information about linked event probabilities; this is a hypothesis, not an established AREPO result.","new vintage minus previous published vintage, scaled by prior uncertainty","vintage history,revision release times,PM quotes",XFRED;XBLS;XEIA,https://fred.stlouisfed.org/docs/api/fred/realtime_period.html | https://www.bls.gov/developers/ | https://www.eia.gov/opendata/documentation.php,1h,6h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Markets related to revised series with valid vintage calendar,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,ALFRED date granularity may not prove intraday availability,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Daily-only timing cannot support minute-level claims; prospective timestamping needed.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H47,F47,Weather forecast innovation,Official forecast revisions lead weather-market repricing,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Official forecast revisions lead weather-market repricing; this is a hypothesis, not an established AREPO result.",change in rule-matched probability from consecutive issued forecast ensembles,"forecast issue/valid times,location,threshold,station,uncertainty",XNOAA;PGAMMA,https://www.weather.gov/documentation/services-web-api | https://docs.polymarket.com/api-spec/gamma-openapi.yaml,1h,6h;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Exact location/station/day/threshold market mapping,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Observation delays, revised forecasts, station mismatch and deterministic forecasts",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Retain issued forecast vintages; compare latest level versus revision.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,HYP,Designed; not executed; no edge established
H48,F48,Company filing and disclosure novelty,Relevant filing surprises predict linked market repricing,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Relevant filing surprises predict linked market repricing; this is a hypothesis, not an established AREPO result.",new numerical guidance or claim minus prior disclosed/expected value; novelty separate,"SEC filing accession,acceptance/receipt time,XBRL units,prior filings",XSEC;XNEWS,https://www.sec.gov/search-filings/edgar-application-programming-interfaces | https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/,1h,6h;24h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Entity-matched company event markets with explicit rule linkage,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Filing reuses earlier press release; XBRL restatement; market already moved,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Earliest public dissemination, not filing date alone, determines novelty.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E19;E20;HYP,Designed; not executed; no edge established
H49,F49,Search attention innovation,Search attention predicts later activity or repricing beyond news counts,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Search attention predicts later activity or repricing beyond news counts; this is a hypothesis, not an established AREPO result.",training-seasonally-adjusted change in query interest; sample version retained,"Trends responses,query,region,time grid,request date,coverage",XTRENDS,https://developers.google.com/search/apis/trends,6h,24h;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Access-approved queries with stable measurement and matched events,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Rescaling, sampling, low volume suppression, revised history",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Baseline attention forecasts; no assumed official alpha access or intraday precision.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P3,Speculative: retain as a falsifiable candidate; defer expense until core controls work.,E21,Designed; not executed; no edge established
H50,F50,Public pageview attention,Open attention measures predict activity beyond price and news,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Open attention measures predict activity beyond price and news; this is a hypothesis, not an established AREPO result.",abnormal entity-page views relative to past weekday/time baseline,"Wikimedia pageviews,article identity,publication availability",XWIKI,https://doc.wikimedia.org/generated-data-platform/aqs/analytics-api/documentation/getting-started.html,24h,6h;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Unambiguous entity pages; API availability matched to origin,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Daily aggregation, bots, unrelated entity news and alias changes",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Use as-known published counts; no forward filling end-of-day totals into morning origins.",L: existing-data or low-volume metadata pilot; planned 1-3 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E21;HYP,Designed; not executed; no edge established
H51,F51,Information disagreement,Contradictory information predicts volatility and lower directional confidence,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Contradictory information predicts volatility and lower directional confidence; this is a hypothesis, not an established AREPO result.","entropy of source-weighted claim stance, with source weights fit on past data","stance probabilities,source lineage,matching uncertainty",XNEWS;POFFICIAL,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/ | https://developer.parliament.uk/,1h,15m;6h,T2 magnitude / probability of material move,At least two independent claims about same proposition,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Classifier uncertainty versus substantive disagreement; syndication,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Keep extraction entropy distinct from source disagreement; human-adjudicated subset.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H52,F52,Information decay,Information half-life varies by liquidity and determines remaining predictability,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Information half-life varies by liquidity and determines remaining predictability; this is a hypothesis, not an established AREPO result.",signed novelty surprise * exp(-age/tau); tau training-estimated by family,"claim times,novelty,surprise,first observed PM response",XNEWS;PBOOK,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/ | https://docs.polymarket.com/market-data/realtime-data,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Historical claim stream with complete receipt timing,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Choosing decay from final test; repeated reporting resets false freshness,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. New independent facts may reset age; syndicated copies may not.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E18;E20,Designed; not executed; no edge established
H53,F53,Price volatility and flow interaction,The same flow predicts continuation in some volatility regimes and reversal in others,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"The same flow predicts continuation in some volatility regimes and reversal in others; this is a hypothesis, not an established AREPO result.",flow imbalance * realised volatility state; continuous spline,"return path,signed flow,depth",PTRADE;PBOOK,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/market-data/realtime-data,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Common complete panel across regimes,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Regime labels fitted with future volatility; interaction overfitting,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Use trailing volatility only; include all main effects.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;HYP,Designed; not executed; no edge established
H54,F54,Market-response underreaction to corroborated news,A gap between information magnitude and initial price adjustment predicts continuation,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"A gap between information magnitude and initial price adjustment predicts continuation; this is a hypothesis, not an established AREPO result.",claim surprise minus training-predicted surprise from already-observed PM move,"claim numeric surprise,source count,postreceipt PM response",XNEWS;POFFICIAL;PBOOK,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/ | https://developer.parliament.uk/ | https://docs.polymarket.com/market-data/realtime-data,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Quantified claims with calibrated direction and receipt times,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Residual model fitted on test; selecting only underreaction cases,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Freeze response model on development and evaluate overreaction as well as underreaction.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E18;E20,Designed; not executed; no edge established
H55,F55,Cross-domain wallet transfer,Some wallet skill transfers to related domains but not unrelated domains,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Some wallet skill transfers to related domains but not unrelated domains; this is a hypothesis, not an established AREPO result.",posterior category skill transferred with training-estimated similarity and uncertainty,"past mature wallet scores,domain mapping,current flow",PWALLET;PGAMMA,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-spec/gamma-openapi.yaml,6h,24h;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Repeated wallets across independent domains,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Shared event families disguised as different categories,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Leave entire economic domains out; compare zero-transfer and complete-pooling models.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P3,Speculative: retain as a falsifiable candidate; defer expense until core controls work.,E10;E24;HYP,Designed; not executed; no edge established
H56,F56,Public resolution process state,Oracle process state predicts resolution delay or final-payout uncertainty,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Oracle process state predicts resolution delay or final-payout uncertainty; this is a hypothesis, not an established AREPO result.","request/proposal/dispute age,bond,reward,liveness and state indicators","UMA/CTF logs and states,block timestamps,first receipt",PORACLE;PCHAIN,https://github.com/Polymarket/uma-ctf-adapter | https://docs.polymarket.com/resources/contracts,24h,time-to-resolution;resolution,T5 time to resolution; separate final-payout label,Unresolved conditions with verified contract mapping,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Underlying outcome already known; disputed cases selected ex post,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Primary target resolution time/uncertainty, not pre-event informational alpha.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H57,F57,Settlement and indexer lag,Settlement/indexer lag explains apparent signals and predicts quality deterioration,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Settlement/indexer lag explains apparent signals and predicts quality deterioration; this is a hypothesis, not an established AREPO result.",receipt-to-block-confirmed lag and unmatched offchain/onchain fill share,"match events,receipts,transactions,status,indexer freshness",PTRADE;PCHAIN;PDATA,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/resources/contracts | https://data-api.polymarket.com/v2/docs,5m,15m;1h,T6 data-quality/settlement lag; price effect secondary,Reconciled public records with no private order data,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"RPC outage, reorgs, source clocks and changing contract versions",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Quality/missingness target primary; test price effect only after censoring contaminated windows.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E12;E13,Designed; not executed; no edge established
H58,F58,Sports state innovation,Fresh game-state changes explain and may lead price adjustment,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Fresh game-state changes explain and may lead price adjustment; this is a hypothesis, not an established AREPO result.","rule-aligned score,time,period,status innovation relative to prior state","sports WS game IDs,scores,period,elapsed,status,receipt; rules",PSPORTS;PBOOK,https://docs.polymarket.com/market-data/realtime-data | https://docs.polymarket.com/market-data/realtime-data,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Verified game-to-market mapping and consistent score chronology,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Feed delay, score corrections, in-play delay, game over settlement lag",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then No claim of beating faster feeds; compare several measured ingestion delays.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E09;HYP,Designed; not executed; no edge established
